Marker Chrom Pos_start
Chr1SNP355 1 3.884932
Chr1SNP359 1 3.928768
Chr1SNP364 1 3.983562
Chr1SNP365 1 3.994521
Chr1SNP378 1 4.136987
Chr1SNP379 1 4.147946
Chr1SNP380 1 4.158905
Chr1SNP381 1 4.169864
Chr1SNP382 1 4.180822
Chr1SNP385 1 4.213699
Chr1SNP387 1 4.235617
Chr1SNP391 1 4.279453
Chr1SNP395 1 4.323288
Chr1SNP400 1 4.378083
Chr1SNP402 1 4.400001
Chr1SNP404 1 4.421918
Chr1SNP406 1 4.443836
Chr1SNP408 1 4.465754
Chr1SNP410 1 4.487672
Chr1SNP411 1 4.498631
Chr1SNP414 1 4.531507
Chr1SNP421 1 4.60822
Chr1SNP424 1 4.641096
Chr1SNP425 1 4.652055
Chr1SNP427 1 4.673973
Chr1SNP429 1 4.695891
Chr1SNP430 1 4.70685
Chr1SNP435 1 4.761644
Chr1SNP441 1 4.827398
Chr1SNP445 1 4.871233
Chr1SNP451 1 4.936987
Chr1SNP454 1 4.969864
Chr1SNP459 1 5.024658
Chr1SNP460 1 5.035617
Chr1SNP463 1 5.068494
Chr1SNP476 1 5.210959
Chr1SNP478 1 5.232877
Chr1SNP485 1 5.30959
Chr1SNP496 1 5.430137
Chr1SNP497 1 5.441096
Chr1SNP499 1 5.463014
Chr1SNP509 1 5.572603
Chr1SNP510 1 5.583562
Chr1SNP512 1 5.60548
Chr1SNP513 1 5.616439
Chr1SNP516 1 5.649316
Chr1SNP517 1 5.660274
Chr1SNP521 1 5.70411
Chr1SNP526 1 5.758905
Chr1SNP527 1 5.769864
Chr1SNP530 1 5.80274
Chr1SNP535 1 5.857535
Chr1SNP538 1 5.890411
Chr1SNP539 1 5.90137
Chr1SNP540 1 5.912329
Chr1SNP550 1 6.021918
Chr1SNP554 1 6.065754
Chr1SNP555 1 6.076713
Chr1SNP556 1 6.087672
Chr1SNP560 1 6.131507
Chr1SNP563 1 6.164384
Chr1SNP566 1 6.197261
Chr1SNP568 1 6.219179
Chr1SNP571 1 6.252055
Chr1SNP572 1 6.263014
Chr1SNP574 1 6.284932
Chr1SNP575 1 6.295891
Chr1SNP576 1 6.30685
Chr1SNP582 1 6.372603
Chr1SNP583 1 6.383562
Chr1SNP584 1 6.394521
Chr1SNP585 1 6.40548
Chr1SNP590 1 6.460274
Chr1SNP603 1 6.60274
Chr1SNP606 1 6.635617
Chr1SNP614 1 6.723288
Chr1SNP616 1 6.745206
Chr1SNP624 1 6.832877
Chr1SNP629 1 6.887672
Chr1SNP637 1 6.975343
Chr1SNP641 1 7.019179
Chr1SNP642 1 7.030137
Chr1SNP643 1 7.041096
Chr1SNP649 1 7.10685
Chr1SNP651 1 7.128768
Chr1SNP654 1 7.161644
Chr1SNP656 1 7.183562
Chr1SNP659 1 7.216439
Chr1SNP661 1 7.238357
Chr1SNP664 1 7.271233
Chr1SNP674 1 7.380822
Chr1SNP676 1 7.40274
Chr1SNP678 1 7.424658
Chr1SNP683 1 7.479453
Chr1SNP688 1 7.534247
Chr1SNP689 1 7.545206
Chr1SNP690 1 7.556165
Chr1SNP691 1 7.567124
Chr1SNP695 1 7.610959
Chr1SNP696 1 7.621918
Chr1SNP701 1 7.676713
Chr1SNP720 1 7.884932
Chr1SNP723 1 7.917809
Chr1SNP726 1 7.950685
Chr1SNP727 1 7.961644
Chr1SNP733 1 8.027398
Chr1SNP737 1 8.071233
Chr1SNP740 1 8.10411
Chr1SNP742 1 8.126028
Chr1SNP745 1 8.158905
Chr1SNP747 1 8.180822
Chr1SNP748 1 8.191781
Chr1SNP752 1 8.235617
Chr1SNP755 1 8.268494
Chr1SNP756 1 8.279453
Chr1SNP757 1 8.290411
Chr1SNP759 1 8.312329
Chr1SNP765 1 8.378083
Chr1SNP768 1 8.410959
Chr1SNP769 1 8.421918
Chr1SNP775 1 8.487672
Chr1SNP780 1 8.542466
Chr1SNP782 1 8.564384
Chr1SNP783 1 8.575343
Chr1SNP789 1 8.641096
Chr1SNP794 1 8.695891
Chr1SNP801 1 8.772603
Chr1SNP803 1 8.794521
Chr1SNP807 1 8.838357
Chr1SNP815 1 8.926028
Chr1SNP818 1 8.958905
Chr1SNP822 1 9.00274
Chr1SNP825 1 9.035617
Chr1SNP833 1 9.123288
Chr1SNP838 1 9.178083
Chr1SNP839 1 9.189042
Chr1SNP841 1 9.210959
Chr1SNP848 1 9.287672
Chr1SNP854 1 9.353425
Chr1SNP859 1 9.40822
Chr1SNP863 1 9.452055
Chr1SNP867 1 9.495891
Chr1SNP868 1 9.50685
Chr1SNP870 1 9.528768
Chr1SNP883 1 9.671233
Chr1SNP886 1 9.70411
Chr1SNP892 1 9.769864
Chr1SNP894 1 9.791781
Chr1SNP899 1 9.846576
Chr1SNP901 1 9.868494
Chr1SNP914 1 10.010959
Chr1SNP917 1 10.043836
Chr1SNP932 1 10.20822
Chr1SNP934 1 10.230137
Chr1SNP946 1 10.361644
Chr1SNP952 1 10.427398
Chr1SNP960 1 10.515069
Chr1SNP966 1 10.580822
Chr1SNP975 1 10.679453
Chr1SNP976 1 10.690411
Chr1SNP977 1 10.70137
Chr1SNP980 1 10.734247
Chr1SNP985 1 10.789042
Chr1SNP989 1 10.832877
Chr1SNP991 1 10.854795
Chr1SNP993 1 10.876713
Chr1SNP1009 1 11.052055
Chr1SNP1017 1 11.139727
Chr1SNP1020 1 11.172603
Chr1SNP1024 1 11.216439
Chr1SNP1030 1 11.282192
Chr1SNP1038 1 11.369864
Chr1SNP1041 1 11.40274
Chr1SNP1048 1 11.479453
Chr1SNP1050 1 11.50137
Chr1SNP1063 1 11.643836
Chr1SNP1068 1 11.698631
Chr1SNP1077 1 11.797261
Chr1SNP1079 1 11.819179
Chr1SNP1080 1 11.830137
Chr1SNP1081 1 11.841096
Chr1SNP1083 1 11.863014
Chr1SNP1084 1 11.873973
Chr1SNP1089 1 11.928768
Chr1SNP1095 1 11.994521
Chr1SNP1099 1 12.038357
Chr1SNP1103 1 12.082192
Chr1SNP1105 1 12.10411
Chr1SNP1116 1 12.224658
Chr1SNP1119 1 12.257535
Chr1SNP1124 1 12.312329
Chr1SNP1127 1 12.345206
Chr1SNP1129 1 12.367124
Chr1SNP1131 1 12.389042
Chr1SNP1133 1 12.410959
Chr1SNP1141 1 12.498631
Chr1SNP1145 1 12.542466
Chr1SNP1149 1 12.586302
Chr1SNP1156 1 12.663014
Chr1SNP1158 1 12.684932
Chr1SNP1165 1 12.761644
Chr1SNP1168 1 12.794521
Chr1SNP1177 1 12.893151
Chr1SNP1189 1 13.024658
Chr1SNP1194 1 13.079453
Chr1SNP1200 1 13.145206
Chr1SNP1211 1 13.265754
Chr1SNP1220 1 13.364384
Chr1SNP1223 1 13.397261
Chr1SNP1237 1 13.550685
Chr1SNP1243 1 13.616439
Chr1SNP1247 1 13.660274
Chr1SNP1260 1 13.80274
Chr1SNP1261 1 13.813699
Chr1SNP1262 1 13.824658
Chr1SNP1269 1 13.90137
Chr1SNP1270 1 13.912329
Chr1SNP1279 1 14.010959
Chr1SNP1281 1 14.032877
Chr1SNP1283 1 14.054795
Chr1SNP1287 1 14.098631
Chr1SNP1289 1 14.120548
Chr1SNP1291 1 14.142466
Chr1SNP1294 1 14.175343
Chr1SNP1296 1 14.197261
Chr1SNP1297 1 14.20822
Chr1SNP1301 1 14.252055
Chr1SNP1302 1 14.263014
Chr1SNP1304 1 14.284932
Chr1SNP1312 1 14.372603
Chr1SNP1315 1 14.40548
Chr1SNP1318 1 14.438357
Chr1SNP1331 1 14.580822
Chr1SNP1333 1 14.60274
Chr1SNP1336 1 14.635617
Chr1SNP1338 1 14.657535
Chr1SNP1339 1 14.668494
Chr1SNP1345 1 14.734247
Chr1SNP1347 1 14.756165
Chr1SNP1353 1 14.821918
Chr1SNP1362 1 14.920548
Chr1SNP1365 1 14.953425
Chr1SNP1371 1 15.019179
Chr1SNP1378 1 15.095891
Chr1SNP1385 1 15.172603
Chr1SNP1389 1 15.216439
Chr1SNP1396 1 15.293151
Chr1SNP1398 1 15.315069
Chr1SNP1407 1 15.413699
Chr1SNP1408 1 15.424658
Chr1SNP1409 1 15.435617
Chr1SNP1412 1 15.468494
Chr1SNP1413 1 15.479453
Chr1SNP1414 1 15.490411
Chr1SNP1417 1 15.523288
Chr1SNP1422 1 15.578083
Chr1SNP1423 1 15.589042
Chr1SNP1428 1 15.643836
Chr1SNP1431 1 15.676713
Chr1SNP1433 1 15.698631
Chr1SNP1434 1 15.70959
Chr1SNP1441 1 15.786302
Chr1SNP1445 1 15.830137
Chr1SNP1446 1 15.841096
Chr1SNP1450 1 15.884932
Chr1SNP1451 1 15.895891
Chr1SNP1452 1 15.90685
Chr1SNP1456 1 15.950685
Chr1SNP1460 1 15.994521
Chr1SNP1465 1 16.049316
Chr1SNP1470 1 16.10411
Chr1SNP1472 1 16.126028
Chr1SNP1473 1 16.136987
Chr1SNP1475 1 16.158905
Chr1SNP1480 1 16.213699
Chr1SNP1483 1 16.246576
Chr1SNP1487 1 16.290411
Chr1SNP1490 1 16.323288
Chr1SNP1505 1 16.487672
Chr1SNP1509 1 16.531507
Chr1SNP1511 1 16.553425
Chr1SNP1512 1 16.564384
Chr1SNP1513 1 16.575343
Chr1SNP1514 1 16.586302
Chr1SNP1519 1 16.641096
Chr1SNP1525 1 16.70685
Chr1SNP1526 1 16.717809
Chr1SNP1530 1 16.761644
Chr1SNP1531 1 16.772603
Chr1SNP1539 1 16.860274
Chr1SNP1557 1 17.057535
Chr1SNP1560 1 17.090411
Chr1SNP1563 1 17.123288
Chr1SNP1571 1 17.210959
Chr1SNP1572 1 17.221918
Chr1SNP1573 1 17.232877
Chr1SNP1574 1 17.243836
Chr1SNP1575 1 17.254795
Chr1SNP1585 1 17.364384
Chr1SNP1589 1 17.40822
Chr1SNP1593 1 17.452055
Chr1SNP1598 1 17.50685
Chr1SNP1599 1 17.517809
Chr1SNP1604 1 17.572603
Chr1SNP1605 1 17.583562
Chr1SNP1606 1 17.594521
Chr1SNP1607 1 17.60548
Chr1SNP1608 1 17.616439
Chr1SNP1618 1 17.726028
Chr1SNP1619 1 17.736987
Chr1SNP1622 1 17.769864
Chr1SNP1626 1 17.813699
Chr1SNP1636 1 17.923288
Chr1SNP1639 1 17.956165
Chr1SNP1642 1 17.989042
Chr1SNP1653 1 18.10959
Chr1SNP1669 1 18.284932
Chr1SNP1670 1 18.295891
Chr1SNP1677 1 18.372603
Chr1SNP1678 1 18.383562
Chr1SNP1679 1 18.394521
Chr1SNP1680 1 18.40548
Chr1SNP1683 1 18.438357
Chr1SNP1695 1 18.569864
Chr1SNP1698 1 18.60274
Chr1SNP1700 1 18.624658
Chr1SNP1702 1 18.646576
Chr1SNP1703 1 18.657535
Chr1SNP1704 1 18.668494
Chr1SNP1707 1 18.70137
Chr1SNP1725 1 18.898631
Chr1SNP1726 1 18.90959
Chr1SNP1730 1 18.953425
Chr1SNP1731 1 18.964384
Chr1SNP1736 1 19.019179
Chr1SNP1739 1 19.052055
Chr1SNP1742 1 19.084932
Chr1SNP1753 1 19.20548
Chr1SNP1758 1 19.260274
Chr1SNP1759 1 19.271233
Chr1SNP1760 1 19.282192
Chr1SNP1761 1 19.293151
Chr1SNP1762 1 19.30411
Chr1SNP1775 1 19.446576
Chr1SNP1776 1 19.457535
Chr1SNP1777 1 19.468494
Chr1SNP1780 1 19.50137
Chr1SNP1783 1 19.534247
Chr1SNP1795 1 19.665754
Chr1SNP1797 1 19.687672
Chr1SNP1798 1 19.698631
Chr1SNP1800 1 19.720548
Chr1SNP1801 1 19.731507
Chr1SNP1802 1 19.742466
Chr1SNP1806 1 19.786302
Chr1SNP1807 1 19.797261
Chr1SNP1808 1 19.80822
Chr1SNP1809 1 19.819179
Chr1SNP1811 1 19.841096
Chr1SNP1814 1 19.873973
Chr1SNP1815 1 19.884932
Chr1SNP1820 1 19.939727
Chr1SNP1821 1 19.950685
Chr1SNP1823 1 19.972603
Chr1SNP1824 1 19.983562
Chr1SNP1827 1 20.016439
Chr1SNP1834 1 20.093151
Chr1SNP1836 1 20.115069
Chr1SNP1837 1 20.126028
Chr1SNP1840 1 20.158905
Chr1SNP1842 1 20.180822
Chr1SNP1845 1 20.213699
Chr1SNP1846 1 20.224658
Chr1SNP1861 1 20.389042
Chr1SNP1869 1 20.476713
Chr1SNP1878 1 20.575343
Chr1SNP1881 1 20.60822
Chr1SNP1897 1 20.783562
Chr1SNP1901 1 20.827398
Chr1SNP1902 1 20.838357
Chr1SNP1906 1 20.882192
Chr1SNP1919 1 21.024658
Chr1SNP1920 1 21.035617
Chr1SNP1921 1 21.046576
Chr1SNP1934 1 21.189042
Chr1SNP1935 1 21.2
Chr1SNP1937 1 21.221918
Chr1SNP1943 1 21.287672
Chr1SNP1958 1 21.452055
Chr1SNP1966 1 21.539727
Chr1SNP1972 1 21.60548
Chr1SNP1975 1 21.638357
Chr1SNP1976 1 21.649316
Chr1SNP1979 1 21.682192
Chr1SNP1984 1 21.736987
Chr1SNP1991 1 21.813699
Chr1SNP1993 1 21.835617
Chr1SNP1997 1 21.879453
Chr1SNP1999 1 21.90137
Chr1SNP2001 1 21.923288
Chr1SNP2004 1 21.956165
Chr1SNP2005 1 21.967124
Chr1SNP2007 1 21.989042
Chr1SNP2009 1 22.010959
Chr1SNP2010 1 22.021918
Chr1SNP2011 1 22.032877
Chr1SNP2029 1 22.230137
Chr1SNP2031 1 22.252055
Chr1SNP2035 1 22.295891
Chr1SNP2036 1 22.30685
Chr1SNP2037 1 22.317809
Chr1SNP2039 1 22.339727
Chr1SNP2044 1 22.394521
Chr1SNP2045 1 22.40548
Chr1SNP2048 1 22.438357
Chr1SNP2051 1 22.471233
Chr1SNP2057 1 22.536987
Chr1SNP2058 1 22.547946
Chr1SNP2060 1 22.569864
Chr1SNP2063 1 22.60274
Chr1SNP2064 1 22.613699
Chr1SNP2065 1 22.624658
Chr1SNP2069 1 22.668494
Chr1SNP2075 1 22.734247
Chr1SNP2076 1 22.745206
Chr1SNP2078 1 22.767124
Chr1SNP2094 1 22.942466
Chr1SNP2111 1 23.128768
Chr1SNP2112 1 23.139727
Chr1SNP2113 1 23.150685
Chr1SNP2114 1 23.161644
Chr1SNP2118 1 23.20548
Chr1SNP2119 1 23.216439
Chr1SNP2121 1 23.238357
Chr1SNP2124 1 23.271233
Chr1SNP2125 1 23.282192
Chr1SNP2129 1 23.326028
Chr1SNP2137 1 23.413699
Chr1SNP2138 1 23.424658
Chr1SNP2141 1 23.457535
Chr1SNP2145 1 23.50137
Chr1SNP2147 1 23.523288
Chr1SNP2152 1 23.578083
Chr1SNP2154 1 23.600001
Chr1SNP2155 1 23.610959
Chr1SNP2156 1 23.621918
Chr1SNP2163 1 23.698631
Chr1SNP2165 1 23.720548
Chr1SNP2171 1 23.786302
Chr1SNP2172 1 23.797261
Chr1SNP2175 1 23.830137
Chr1SNP2176 1 23.841096
Chr1SNP2177 1 23.852055
Chr1SNP2183 1 23.917809
Chr1SNP2184 1 23.928768
Chr1SNP2189 1 23.983562
Chr1SNP2198 1 24.082192
Chr1SNP2199 1 24.093151
Chr1SNP2200 1 24.10411
Chr1SNP2202 1 24.126028
Chr1SNP2209 1 24.20274
Chr1SNP2210 1 24.213699
Chr1SNP2214 1 24.257535
Chr1SNP2216 1 24.279453
Chr1SNP2218 1 24.30137
Chr1SNP2220 1 24.323288
Chr1SNP2222 1 24.345206
Chr1SNP2223 1 24.356165
Chr1SNP2227 1 24.4
Chr1SNP2231 1 24.443836
Chr1SNP2232 1 24.454795
Chr1SNP2238 1 24.520548
Chr1SNP2239 1 24.531507
Chr1SNP2240 1 24.542466
Chr1SNP2248 1 24.630137
Chr1SNP2254 1 24.695891
Chr1SNP2256 1 24.717809
Chr1SNP2257 1 24.728768
Chr1SNP2259 1 24.750685
Chr1SNP2267 1 24.838357
Chr1SNP2270 1 24.871233
Chr1SNP2271 1 24.882192
Chr1SNP2272 1 24.893151
Chr1SNP2273 1 24.90411
Chr1SNP2276 1 24.936987
Chr1SNP2280 1 24.980822
Chr1SNP2282 1 25.00274
Chr1SNP2283 1 25.013699
Chr1SNP2285 1 25.035617
Chr1SNP2290 1 25.090411
Chr1SNP2291 1 25.10137
Chr1SNP2303 1 25.232877
Chr1SNP2312 1 25.331507
Chr1SNP2321 1 25.430137
Chr1SNP2323 1 25.452055
Chr1SNP2324 1 25.463014
Chr1SNP2328 1 25.50685
Chr1SNP2332 1 25.550685
Chr1SNP2343 1 25.671233
Chr1SNP2351 1 25.758905
Chr1SNP2353 1 25.780822
Chr1SNP2364 1 25.90137
Chr1SNP2371 1 25.978083
Chr1SNP2373 1 26
Chr1SNP2374 1 26.010959
Chr1SNP2375 1 26.021918
Chr1SNP2377 1 26.043836
Chr1SNP2379 1 26.065754
Chr1SNP2380 1 26.076713
Chr1SNP2391 1 26.197261
Chr1SNP2394 1 26.230137
Chr1SNP2397 1 26.263014
Chr1SNP2399 1 26.284932
Chr1SNP2401 1 26.30685
Chr1SNP2404 1 26.339727
Chr1SNP2405 1 26.350685
Chr1SNP2406 1 26.361644
Chr1SNP2409 1 26.394521
Chr1SNP2417 1 26.482192
Chr1SNP2418 1 26.493151
Chr1SNP2421 1 26.526028
Chr1SNP2424 1 26.558905
Chr1SNP2425 1 26.569864
Chr1SNP2432 1 26.646576
Chr1SNP2433 1 26.657535
Chr1SNP2435 1 26.679453
Chr1SNP2446 1 26.8
Chr1SNP2447 1 26.810959
Chr1SNP2448 1 26.821918
Chr1SNP2452 1 26.865754
Chr1SNP2457 1 26.920548
Chr1SNP2460 1 26.953425
Chr1SNP2462 1 26.975343
Chr1SNP2469 1 27.052055
Chr1SNP2472 1 27.084932
Chr1SNP2474 1 27.10685
Chr1SNP2475 1 27.117809
Chr1SNP2476 1 27.128768
Chr1SNP2478 1 27.150685
Chr1SNP2483 1 27.20548
Chr1SNP2487 1 27.249316
Chr1SNP2492 1 27.30411
Chr1SNP2499 1 27.380822
Chr1SNP2501 1 27.40274
Chr1SNP2505 1 27.446576
Chr1SNP2513 1 27.534247
Chr1SNP2521 1 27.621918
Chr1SNP2527 1 27.687672
Chr1SNP2529 1 27.70959
Chr1SNP2531 1 27.731507
Chr1SNP2534 1 27.764384
Chr1SNP2535 1 27.775343
Chr1SNP2537 1 27.797261
Chr1SNP2540 1 27.830137
Chr1SNP2546 1 27.895891
Chr1SNP2549 1 27.928768
Chr1SNP2553 1 27.972603
Chr1SNP2555 1 27.994521
Chr1SNP2556 1 28.00548
Chr1SNP2564 1 28.093151
Chr1SNP2569 1 28.147946
Chr1SNP2570 1 28.158905
Chr1SNP2571 1 28.169864
Chr1SNP2574 1 28.20274
Chr1SNP2576 1 28.224658
Chr1SNP2578 1 28.246576
Chr1SNP2579 1 28.257535
Chr1SNP2580 1 28.268494
Chr1SNP2586 1 28.334247
Chr1SNP2595 1 28.432877
Chr1SNP2600 1 28.487672
Chr1SNP2605 1 28.542466
Chr1SNP2615 1 28.652055
Chr1SNP2617 1 28.673973
Chr1SNP2618 1 28.684932
Chr1SNP2623 1 28.739727
Chr1SNP2625 1 28.761644
Chr1SNP2630 1 28.816439
Chr1SNP2634 1 28.860274
Chr1SNP2644 1 28.969864
Chr1SNP2645 1 28.980822
Chr1SNP2660 1 29.145206
Chr1SNP2666 1 29.210959
Chr1SNP2668 1 29.232877
Chr1SNP2671 1 29.265754
Chr1SNP2673 1 29.287672
Chr1SNP2675 1 29.30959
Chr1SNP2677 1 29.331507
Chr1SNP2678 1 29.342466
Chr1SNP2679 1 29.353425
Chr1SNP2683 1 29.397261
Chr1SNP2685 1 29.419179
Chr1SNP2686 1 29.430137
Chr1SNP2703 1 29.616439
Chr1SNP2710 1 29.693151
Chr1SNP2716 1 29.758905
Chr1SNP2717 1 29.769864
Chr1SNP2721 1 29.813699
Chr1SNP2733 1 29.945206
Chr1SNP2738 1 30
Chr1SNP2741 1 30.032877
Chr1SNP2749 1 30.120548
Chr1SNP2755 1 30.186302
Chr1SNP2763 1 30.273973
Chr1SNP2778 1 30.438357
Chr1SNP2789 1 30.558905
Chr1SNP2793 1 30.60274
Chr1SNP2794 1 30.613699
Chr1SNP2799 1 30.668494
Chr1SNP2800 1 30.679453
Chr1SNP2804 1 30.723288
Chr1SNP2821 1 30.90959
Chr1SNP2826 1 30.964384
Chr1SNP2827 1 30.975343
Chr1SNP2829 1 30.997261
Chr1SNP2830 1 31.00822
Chr1SNP2836 1 31.073973
Chr1SNP2838 1 31.095891
Chr1SNP2847 1 31.194521
Chr1SNP2855 1 31.282192
Chr1SNP2856 1 31.293151
Chr1SNP2860 1 31.336987
Chr1SNP2865 1 31.391781
Chr1SNP2866 1 31.40274
Chr1SNP2867 1 31.413699
Chr1SNP2871 1 31.457535
Chr1SNP2874 1 31.490411
Chr1SNP2879 1 31.545206
Chr1SNP2887 1 31.632877
Chr1SNP2890 1 31.665754
Chr1SNP2892 1 31.687672
Chr1SNP2894 1 31.70959
Chr1SNP2899 1 31.764384
Chr1SNP2902 1 31.797261
Chr1SNP2905 1 31.830137
Chr1SNP2909 1 31.873973
Chr1SNP2912 1 31.90685
Chr1SNP2913 1 31.917809
Chr1SNP2914 1 31.928768
Chr1SNP2919 1 31.983562
Chr1SNP2926 1 32.060274
Chr1SNP2930 1 32.10411
Chr1SNP2933 1 32.136987
Chr1SNP2937 1 32.180822
Chr1SNP2939 1 32.20274
Chr1SNP2950 1 32.323288
Chr1SNP2953 1 32.356165
Chr1SNP2954 1 32.367124
Chr1SNP2955 1 32.378083
Chr1SNP2963 1 32.465754
Chr1SNP2967 1 32.50959
Chr1SNP2972 1 32.564384
Chr1SNP2973 1 32.575343
Chr1SNP2974 1 32.586302
Chr1SNP2986 1 32.717809
Chr1SNP2988 1 32.739727
Chr1SNP2991 1 32.772603
Chr1SNP2999 1 32.860274
Chr1SNP3001 1 32.882192
Chr1SNP3008 1 32.958905
Chr1SNP3010 1 32.980822
Chr1SNP3011 1 32.991781
Chr1SNP3017 1 33.057535
Chr1SNP3019 1 33.079453
Chr1SNP3020 1 33.090411
Chr1SNP3023 1 33.123288
Chr1SNP3027 1 33.167124
Chr1SNP3028 1 33.178083
Chr1SNP3030 1 33.2
Chr1SNP3035 1 33.254795
Chr1SNP3037 1 33.276713
Chr1SNP3041 1 33.320548
Chr1SNP3046 1 33.375343
Chr1SNP3051 1 33.430137
Chr1SNP3055 1 33.473973
Chr1SNP3059 1 33.517809
Chr1SNP3060 1 33.528768
Chr1SNP3078 1 33.726028
Chr1SNP3079 1 33.736987
Chr1SNP3085 1 33.80274
Chr1SNP3086 1 33.813699
Chr1SNP3092 1 33.879453
Chr1SNP3104 1 34.010959
Chr1SNP3105 1 34.021918
Chr1SNP3107 1 34.043836
Chr1SNP3110 1 34.076713
Chr1SNP3119 1 34.175343
Chr1SNP3123 1 34.219179
Chr1SNP3128 1 34.273973
Chr1SNP3136 1 34.361644
Chr1SNP3142 1 34.427398
Chr1SNP3146 1 34.471233
Chr1SNP3148 1 34.493151
Chr1SNP3154 1 34.558905
Chr1SNP3169 1 34.723288
Chr1SNP3173 1 34.767124
Chr1SNP3187 1 34.920548
Chr1SNP3189 1 34.942466
Chr1SNP3190 1 34.953425
Chr1SNP3192 1 34.975343
Chr1SNP3194 1 34.997261
Chr1SNP3201 1 35.073973
Chr1SNP3205 1 35.117809
Chr1SNP3209 1 35.161644
Chr1SNP3219 1 35.271233
Chr1SNP3220 1 35.282192
Chr1SNP3223 1 35.315069
Chr1SNP3225 1 35.336987
Chr1SNP3229 1 35.380822
Chr1SNP3230 1 35.391781
Chr1SNP3238 1 35.479453
Chr1SNP3243 1 35.534247
Chr1SNP3251 1 35.621918
Chr1SNP3253 1 35.643836
Chr1SNP3264 1 35.764384
Chr1SNP3272 1 35.852055
Chr1SNP3283 1 35.972603
Chr1SNP3292 1 36.071233
Chr1SNP3296 1 36.115069
Chr1SNP3298 1 36.136987
Chr1SNP3300 1 36.158905
